parcel_id_clean,key_scope,parcel_id_type,parcel_display,n_findings,volumes,recommendations,record_ids
10/94/42/1,global,lr,10/94/42/1,2,1,Revoke,annex_25_kenya_agricultural_research_institute_3021|annex_25_kenya_agricultural_research_institute_3067
10/94/42/10,global,lr,10/94/42/10,2,1,Revoke,annex_25_kenya_agricultural_research_institute_3030|annex_25_kenya_agricultural_research_institute_3076
10/94/42/11,global,lr,10/94/42/11,2,1,Revoke,annex_25_kenya_agricultural_research_institute_3031|annex_25_kenya_agricultural_research_institute_3077
10/94/42/12,global,lr,10/94/42/12,2,1,Revoke,annex_25_kenya_agricultural_research_institute_3032|annex_25_kenya_agricultural_research_institute_3078
10/94/42/13,global,lr,10/94/42/13,2,1,Revoke,annex_25_kenya_agricultural_research_institute_3033|annex_25_kenya_agricultural_research_institute_3079
10/94/42/14,global,lr,10/94/42/14,2,1,Revoke,annex_25_kenya_agricultural_research_institute_3034|annex_25_kenya_agricultural_research_institute_3080
10/94/42/15,global,lr,10/94/42/15,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3035
10/94/42/16,global,lr,10/94/42/16,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3036
10/94/42/17,global,lr,10/94/42/17,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3037
10/94/42/18,global,lr,10/94/42/18,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3038
10/94/42/19,global,lr,10/94/42/19,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3039
10/94/42/2,global,lr,10/94/42/2,2,1,Revoke,annex_25_kenya_agricultural_research_institute_3022|annex_25_kenya_agricultural_research_institute_3068
10/94/42/20,global,lr,10/94/42/20,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3040
10/94/42/21,global,lr,10/94/42/21,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3041
10/94/42/22,global,lr,10/94/42/22,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3042
10/94/42/23,global,lr,10/94/42/23,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3043
10/94/42/24,global,lr,10/94/42/24,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3044
10/94/42/25,global,lr,10/94/42/25,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3045
10/94/42/26,global,lr,10/94/42/26,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3046
10/94/42/27,global,lr,10/94/42/27,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3047
10/94/42/28,global,lr,10/94/42/28,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3048
10/94/42/29,global,lr,10/94/42/29,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3049
