province,district,station,forest,legal_notice,name_of_excision,excision_area_ha,bp_no,year,purpose,request,beneficiary,status,legal_procedure,recommendation,remarks,source_page,flag_source_csv
Rift Valley,Baringo,Katumok,Katimok,,Katmok,5.01,Not available,1988,Kabarnojo Hospital,,Local community,Occupied,Illegal,Legalise,The area is occupied,682,annex_18_forest_excisions_considered_illegal.csv
Rift Valley,Kajiado,Ngong,Ngong,,Ngong Hills,19.16,Not available,1988,Settlement,,"Putei, Joyce Komongno and Ole Mpayes",Occupied,Illegal,Revoke,The area was granted by D C Kajado,682,annex_18_forest_excisions_considered_illegal.csv
Rift Valley,Nandi,Kimondi,Ururu,,Ururu,18.53,Not available,1988,Farming,,Dr. Yego,Not occupied,Illegal,Revoke,Tea farming established,682,annex_18_forest_excisions_considered_illegal.csv
Rift Valley,Narok,Transmara,Trans-Mara,,Kiptagish,937.70,180/213,1988,Farming,,Daniel Torotich Arap Moi,Occupied,Illegal,Revoke,Tea farming and factory established,682,annex_18_forest_excisions_considered_illegal.csv
Rift Valley,Kajiado,Ololua,Ololua,,Nkaisem Primary School,6.07,Not available,1992,School,,Local communities,Occupied,Illegal,Legalise,Primary school established,682,annex_18_forest_excisions_considered_illegal.csv
Rift Valley,Kajiado,Ololua,Ololua,,Nkaimurunya Primary School,100,Not available,1975,Exchange with 45.244 ha of Mau Mau County Council forest,,Local residents,Occupied,Illegal,Legalise excision and gazette the exchange,Settlement was established,683,annex_18_forest_excisions_considered_illegal.csv
Rift Valley,Narok,Olposimoru,Olposimoru,,Olposimoru,20115,Not available,1987,Exchange with Mr Kandie,,Mr Kandie and Forest Department,Occupied,Illegal,Revoke,The area was allocated by commissioner of lands,683,annex_18_forest_excisions_considered_illegal.csv
Rift Valley,Keiyo,Kipkabus,Kipkabus,,Kipkabus,95.46,175/282,1986,Settlement Area bought from EATEC for pulpwood development,,Landless People,Occupied,Illegal,Legalise exclude ecologically sensitive areas.,The area is settled,683,annex_18_forest_excisions_considered_illegal.csv
Rift Valley,Keiyo,Kipkabus,Kipkabus,,Kipkabus,3916.5,Not available,1983,Extension of Elburgon township,,Elburgon Urban Council,Not occupied,Illegal,Revoke,The area is still forest.,683,annex_18_forest_excisions_considered_illegal.csv
Rift Valley,Nakuru,Elburgon,Eastern Mau,,Eastern Mau,65.16,Not available,1981,Kitale Municipal development programmes,,ASK,Area not occupied,Illegal,Revoke,The area is still forest.,683,annex_18_forest_excisions_considered_illegal.csv
Rift Valley,Trans Nzoia,Kitale,Kitale,,Kitale ASK show ground extension,19.69,175/358,1979,School Development,,Singore Girls school,Occupied,Illegal,Legalise excision,The area is fenced but slightly developed,683,annex_18_forest_excisions_considered_illegal.csv
Rift Valley,Keiyo,Elgeyo,Kapchemu twa,,Singore girls,9.96,180/237,1978,School Development,,Olotokitok community,Occupied,Illegal,Revoke the the proposal and Legalise excision,The area is occupied,683,annex_18_forest_excisions_considered_illegal.csv
Rift Valley,Olosookitok,Olotokitok,Olotokitok,,Olotokitok,43.56,175/275,1975,Settlement,,Landless People,Fully settled,Illegal,Legalise and exclude ecologically sensitive areas,The area is settled,683,annex_18_forest_excisions_considered_illegal.csv
Rift Valley,Laikipia,Marmanet,Marmanet,,Marmanet,1773.3,175/226,1967,Settlement,,Landless,Occupied,Illegal,Legalise and exclude ecologically sensitive areas,The area is settled,683,annex_18_forest_excisions_considered_illegal.csv
Rift Valley,Keiyo,Sabor,Kipssup,,Kesup,378.2,Not available,1992,School,,Local communities,Occupied,Illegal,Legalise,Primary school established,683,annex_18_forest_excisions_considered_illegal.csv
Western,Busia,Sio Port,Wanga,,Wanga,2,Not available,1998,To settle former Minister the late Hon. Okondo.,,Family of the late Hon. Okondo.,Area is developed and settled.,Illegal,Revoke,,684,annex_18_forest_excisions_considered_illegal.csv
Western,Kakamega,Kakamega,Kakamega,,Kakamega Show Ground,40.47,180/234,1992,Relocation of the ASK Show ground from Bukhungu.,,ASK Kakamega Branch.,Area partially occupied,Illegal,Revoke,The area should be reduced. ASK show ground to relocate to Bukhungu,684,annex_18_forest_excisions_considered_illegal.csv
Western,Kakamega,Kakamega,Kakamega,,Kisaina,7.5,Not available,1993,Relocation of Kisaina Primary School from the middle of the forest to the boundary.,,Kisaina Primary School,Area occupied.,Illegal,Legalise,The school is built already,684,annex_18_forest_excisions_considered_illegal.csv
Western,Kakamega,Kakamega,Kakamega,,Mr Shikondi,3.48,180/235,1995,Compensation.,,Mr. Shikondi who was displaced by expansion of Mukumu Girls.,Area already occupied.,Illegal,Legalise,The area is settled.,684,annex_18_forest_excisions_considered_illegal.csv
Western,Lugari,Turbo,Turbo,,Mautuma Settlement,1214.06,Not available,1994,To settle Squatters,,Landless People,Area already occupied,Illegal,Authenticate the list of allottees set aside ecologically sensitive areas and formalize the excision,An area of 1577.86 hectares was surveyed and settled.,684,annex_18_forest_excisions_considered_illegal.csv
Western,Mt Elgon,Kaberua,Mt. Elgon,,Kapsokwo Township Extension,40.47,Not available,1998,Extension Kapsokwoy Township,,Kapsokwoy Town Council.,Area not occupied,Illegal,Revoke,The area is not occupied.,684,annex_18_forest_excisions_considered_illegal.csv
Western,Vihiga,Kibiri,Kakamega,,Shaviringa,36,Not available,1992,Compensation.,,Person displaced by expansion of Mudete Tea Factory,Area already occupied.,Illegal,Legalise the excision,The area is settled,685,annex_18_forest_excisions_considered_illegal.csv
Western,Kakamega,Malava,Kakamega,,Bahai,0.405,Not available,1989,Compensation,,Bahai centre for giving 1 acre for construction of DO's house.,Area not occupied,Illegal,Revoke,The area is not occupied.,685,annex_18_forest_excisions_considered_illegal.csv
Western,Vihiga,Kibiri,Kakamega,,Ishiru,134.8,180/215,1988,Compensation,,Persons displaced by Mbale District Headquarters,Area already occupied 98.8ha,Illegal,Revise the boundary plan to exclude the 36 hectares given in Shaviringa and finalize the de-gazettement of 98.8 hectares in Ishuru,An area of 98.8 hectares is settled.,685,annex_18_forest_excisions_considered_illegal.csv
Western,Kakamega,Kakamega,Kakamega,,Virhembe,17.6,180/209,1987,Compensation,,Persons displaced during expansion of Mukumu Girls.,Area already occupied,Illegal,Finalize the de-gazettement Legalise,The area is settled,685,annex_18_forest_excisions_considered_illegal.csv
Western,Kakamega,Kakamega,Kakamega,,Shikusa Prison Kakamega,4.22,Not available,1981,Meant for juvenile prisoners,,Shikusa Prison,Area partly occupied,Illegal,Review the lease Legalise arrangements and area to be leased,Reduce the area being utilized by Kakamega Prisons,685,annex_18_forest_excisions_considered_illegal.csv
Western,Vihiga,Kibiri,Kakamega,,Kaptik,9.476,180/218,1978,Construction of Kaptik Secondary School,,Kaptik Secondary School,Area already occupied.,Illegal,Legalise,The school is already built.,685,annex_18_forest_excisions_considered_illegal.csv
Western,Mt Elgon District,Kaberua,Mt. Elgon,,Chepyuk,4064.0,Not available,1999,Settlement of squatters,,Landless People,Area partially settled.,Illegal,Investigate excision with a view to settling genuine squatters,The area is already settled.,686,annex_18_forest_excisions_considered_illegal.csv
Central,Nyeri,Gathiuru,Mt. Kenya,,Gathiuru,744.4,175/392,1993,Settlement of squatters,,Unknown,Not occupied,Illegal,Revoke,The area is not settled.,686,annex_18_forest_excisions_considered_illegal.csv
Central,Kirinyaga,Njukiini West,Njukiini West,,Bishop Gitari Njukiini Academy,13.41,175/400,1983,School,,Bishop Gitari Njukiini Academy,Occupied,Illegal,Legalise the excision,A school under the management of A C K is established.,686,annex_18_forest_excisions_considered_illegal.csv
Central,Kiambu,Kinale,Kikuyu escapment,,African inland Mission exchange,4.45,175/381,1960,Exchange with 74.07 ha in King'atua,,AIC Mission,Not occupied,Illegal,Legalise the exchange,This an exchange with 74.08 hectares of forests known as Kigana Forest released to Forest Department by A.J.M. Kiphe.,686,annex_18_forest_excisions_considered_illegal.csv
Rift Valley,Laikipia,Rumuruti,Lariak,,Rumuruti,149.1,175/222,1976,Exchange 127.3 ha neighbouring Lariak forest reserve,,Mr. Mwendia and Forest Department.,Not occupied,Illegal,Revoke,The exchange transaction is not complete,686,annex_18_forest_excisions_considered_illegal.csv
